Name,Description,Author,Comment,Witch Spell,Size,Script: On Execute,Gadget,Slots,NEED TOTAL?,Colour,Upgrade,Weaken,Alternate Status Trigger,SFX,Uses?,Cast Backwards?,Single use?,Tags,Script: On Dodge,Script: Before Combat,Script: After Combat,Script: Before Start Turn,Script: On Start Turn,Script: End Turn,Script: On any equipment use,Script: Before execute,Script: On Snap,Script: On Fury,Script: On any countdown reduce
Eternal Dagger,Do [sword]<d6> damage|30% chance to fail|[gray](Reuseable),gost,made after realizing grabbag's 'zeus dagger' item (do d6 damage; shock this) was startlingly similar to more fluff's 'plug socket' item (reroll the dice; shock a random item) which itself is similar to eternal cauldron -gost,,1,if(!chance(30)) { attack(d); sfxdamage(target|d); } else { self.textparticle(~No effect!~); },,NORMAL,,GRAY,add1,complicate,,,-1,,,,,,,,,,,,,,
name,Get a new dice[;] min 1|On 6[;] increase min by 1|for this battle,glitch,,,1,,,NORMAL,,GREEN,,,,,,,,unfinished|excludefromrandomlists,,,,,,,,,,,
Melting Sword,Do [sword]<d6> damage|At start of turn 4[;] this|permanently breaks,glitch,,,1,,,NORMAL|FREE2,,RED,,,,,,,,unfinished|excludefromrandomlists,,,,,,,,,,,
Half a Sword,Odd uses: +[sword]<d6> to next use|Even uses: do [sword]<d6> damage,glitch,,,1,,,NORMAL,,RED,,,,,,,,unfinished|excludefromrandomlists,,,,,,,,,,,
Backhand,Do [sword]2 damage. If filled|perfectly[;] inflict [vanish]1 fade,Titku,,,1,,,COUNTDOWN,3,PINK,,,,,,,,unfinished|excludefromrandomlists,,,,,,,,,,,
tempname24,Do [sword]6 damage. If filled|perfectly[;] inflict [vanish]Vanish,Titku,,,2,,,COUNTDOWN,10,,,,,,,,,unfinished|excludefromrandomlists,,,,,,,,,,,
tempname25,Do [sword]<d6> damage. Take 2 damage|every time you use a <var:tn25random>|(randomly selected each turn),Ashley,'Implemented' by Titku. thx titku xuo,,2,,,NORMAL|FREE3,,,,,,,,,,unfinished|excludefromrandomlists,,,,,,,,,,,
Loan,Roll 2 dice now|[]-1 dice next turn,Ashley,Implemented by Titku. thanks again hon!,,1,givedice([rand([1|2|3|4|5|6])|rand([1|2|3|4|5|6])]); self.bonusdicenextturn--;,,NORMAL,,PURPLE,,,,,,,,unfinished|excludefromrandomlists,,,,,,,,,,,
tempname26?,Bump all your dice now|Nudge all your dice next turn,Titku,,,1,//Should also bump the dice used in it for consistency with the below item!,,NORMAL,,BRIGHTCYAN,,,,,,,,unfinished|excludefromrandomlists,,,,,,,,,,,
tempname26,Set this dice to 6 now|Freeze a dice next turn,Titku,,,1,//...Maybe this is redundant to Baseball Glove; though.,,NORMAL,,BRIGHTCYAN,,,ice,,,,,unfinished|excludefromrandomlists,,,,,,,,,,,
